Time,X_axis,Y_axis,Z_axis,W_axis
2023-08-03 17:33,0.02103208,0.02998461,-0.005119162,0.999316
2023-08-03 17:33,0.02102954,0.0299468,-0.005096263,0.9993173
2023-08-03 17:33,0.02099936,0.02994195,-0.00513983,0.9993178
2023-08-03 17:34,0.02103131,0.02997217,-0.005108958,0.9993164
2023-08-03 17:34,0.02099628,0.02997924,-0.005145862,0.9993167
2023-08-03 17:34,0.02107787,0.0300429,-0.005102457,0.9993133
2023-08-03 17:34,0.02102581,0.02997144,-0.005123791,0.9993165
2023-08-03 17:34,0.02104739,0.03001335,-0.005128536,0.9993147
2023-08-03 17:34,0.02101981,0.03001249,-0.005073394,0.9993156
2023-08-03 17:35,0.02102572,0.03010926,-0.005130524,0.9993123
2023-08-03 17:35,0.02100356,0.03008658,-0.00512897,0.9993134
2023-08-03 17:35,0.02100551,0.03011877,-0.005112403,0.9993125
2023-08-03 17:35,0.02101831,0.03015905,-0.005110506,0.9993111
2023-08-03 17:35,0.02106564,0.03008101,-0.005122648,0.9993123
2023-08-03 17:35,0.02100097,0.03012871,-0.005062701,0.9993125
2023-08-03 17:36,0.02100684,0.03015473,-0.005118315,0.9993114
2023-08-03 17:36,0.02101249,0.03018506,-0.005147096,0.9993102
2023-08-03 17:36,0.02102053,0.03020684,-0.005133393,0.9993095
2023-08-03 17:36,0.02099187,0.03014836,-0.005134223,0.9993118
2023-08-03 17:36,0.02100767,0.03007163,-0.005123017,0.9993138
2023-08-03 17:36,0.02100821,0.03004352,-0.005111462,0.9993147
2023-08-03 17:37,0.0210054,0.03003138,-0.005151424,0.999315
2023-08-03 17:37,0.02103163,0.03000789,-0.005139629,0.9993151
2023-08-03 17:37,0.02101839,0.03004273,-0.00510066,0.9993145
2023-08-03 17:37,0.02099806,0.03002801,-0.00511915,0.9993154
2023-08-03 17:37,0.02099021,0.03002346,-0.005117434,0.9993157
2023-08-03 17:37,0.02099487,0.03004992,-0.005131249,0.9993147
2023-08-03 17:38,0.0209745,0.03011369,-0.005138938,0.9993132
